City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BOGDANOV, Andrei",Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"HALL, Gary Wayne",Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"SMITH, Rebecca",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"KOSHEVAYA, Marina",Women,URS,Soviet Union,W,Gold
Montreal,1976,Aquatics,Swimming,200m backstroke,"GARAPICK, Nancy Ellen",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,800m freestyle,"WEINBERG, Wendy Elizabeth",Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"RASKATOV, Vladimir",Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"JARDIN, Anne Elizabeth",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"YOZAITIS, Arvidas",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"WRIGHT, Camille",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"KRYLOV, Andrei",Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"DOWNIE, Gordon Hunter",Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"WILKIE, David Andrew",Men,GBR,United Kingdom,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"PEYTON, Kim Marie",Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"TAUBER, Ulrike",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"CLARK, Barbara Lynny",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"AMUNDRUD, Gail",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"BRUNER, Michael Lee",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,"GIBSON, Cheryl",Women,CAN,Canada,W,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"NABER, John Phillips",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOGLIOLI, Wendy Lansbach",Women,USA,United States,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH, Graham",Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"VOGEL, Matthew Haynes",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"COOK-HOGG, Wendy",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"POLLACK, Andrea",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOTTOM, Joseph Stuart",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"THÜMER, Petra",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"RICHTER, Ulrike",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"FURNISS, Bruce Macfarlane",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,"KOSHEVAYA, Marina",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"GREGG, Steven Garrett",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"ENDER, Kornelia",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MCCLATCHEY, Alan",Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"RUSANOVA, Lyubov",Women,URS,Soviet Union,W,Silver
Montreal,1976,Aquatics,Swimming,400m individual medley,"STRACHAN, Rodney",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,"RASKATOV, Vladimir",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"TAUBER, Ulrike",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,"GOODELL, Brian Stuart",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"PICKELL, Stephen",Men,CAN,Canada,M,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"HARRIGAN, Daniel Lee",Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"KOTHER-GABRIEL, Rosemarie",Women,GDR,East Germany,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"POLLACK, Andrea",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m breaststroke,"YURCHENYA, Marina",Women,URS,Soviet Union,W,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"TREIBER, Birgit",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"RUSANOVA, Lyubov",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"BOGLIOLI, Wendy Lansbach",Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BRUNER, Michael Lee",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,100m backstroke,"TREIBER, Birgit",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"HENCKEN, John Frederick",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"BABASHOFF, Jack, Jr.",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,200m butterfly,"POLLACK, Andrea",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,"BRIGITHA, Enith",Women,NED,Netherlands,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SIERING, Laura Gail",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"KOPLYAKOV, Sergei",Men,URS,Soviet Union,M,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"COLELLA, Richard Phillip Jr.",Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"NABER, John Phillips",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,100m backstroke,"GARAPICK, Nancy Ellen",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"STEINBACH, Klaus",Men,FRG,West Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"STERKEL, Gillian Ann",Women,USA,United States,W,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,"NOCKE, Peter",Men,FRG,West Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"FORRESTER, William Ronald, Jr.",Men,USA,United States,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"NOCKE, Peter",Men,FRG,West Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"HENCKEN, John Frederick",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,"ANKE, Hannelore",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"POLLACK, Andrea",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"KUSCH, Walter",Men,FRG,West Germany,M,Bronze
Montreal,1976,Aquatics,Swimming,400m freestyle,"SMITH, Shannon",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"CORSIGLIA, Robin Marie",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,"RICHTER, Ulrike",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,"HACKETT, Robert William",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,100m breaststroke,"WILKIE, David Andrew",Men,GBR,United Kingdom,M,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BRINKLEY, Brian",Men,GBR,United Kingdom,M,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"HENCKEN, John Frederick",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"NABER, John Phillips",Men,USA,United States,M,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"FURNISS, Bruce Macfarlane",Men,USA,United States,M,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"JEZEK, Linda Louise",Women,USA,United States,W,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"PRIEMER, Petra",Women,GDR,East Germany,W,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"JARDIN, Anne Elizabeth",Women,CAN,Canada,W,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,"RICHTER, Ulrike",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
Montreal,1976,Aquatics,Water polo,water polo,"DE ZWARTE, Pieter",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"VEER, Jan Evert",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"KROON, Evert Gerrit",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"HORKAI, Gyorgy",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"CASTAGNOLA, Luigi",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"SMITS, Hans",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"STROBOER, Gijsbert (Gijs)",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"CSAPO, Gabor",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"CSERVENYAK, Tibor",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"GERENDAS, Gyorgy",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"BUUNK, Antoon G.J.",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"SUDAR, Attila",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"KENEZ, Gyorgy",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"MOLNAR, Endre",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"BOEGSCHOTEN, Alexander",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"SAROSI, Laszlo",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"DEL DUCA, Marcello",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"SIMEONI, Roldano",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"ALBERANI SAMARITANI, Alberto",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"BARACCHINI, Silvio",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"PANERAI, Umberto",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"MARSILI, Sante",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"DE MAGISTRIS, Gianni",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"KONRAD, Ferenc",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"TOONEN, Hendrik (Rik)",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"DE MAGISTRIS, Riccardo",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"SZIVOS, Istvan",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"LANDEWEERD, Nicolaas",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"FARAGO, Tamas",Men,HUN,Hungary,M,Gold
Montreal,1976,Aquatics,Water polo,water polo,"HOEPELMAN, Andries",Men,NED,Netherlands,M,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"GHIBELLINI, Alessandro",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"D, Vincenzo",Men,ITA,Italy,M,Silver
Montreal,1976,Aquatics,Water polo,water polo,"VAN ZEELAND, Hans",Men,NED,Netherlands,M,Bronze
Montreal,1976,Archery,Archery,individual FITA round,"RYON, Luann Marie",Women,USA,United States,W,Gold
Montreal,1976,Archery,Archery,individual FITA round,"PACE, Darrell Owen",Men,USA,United States,M,Gold
Montreal,1976,Archery,Archery,individual FITA round,"MICHINAGA, Hiroshi",Men,JPN,Japan,M,Silver
Montreal,1976,Archery,Archery,individual FITA round,"FERRARI, Giancarlo",Men,ITA,Italy,M,Bronze
Montreal,1976,Archery,Archery,individual FITA round,"RUSTAMOVA, Zebiniso",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Archery,Archery,individual FITA round,"KOVPAN, Valentina",Women,URS,Soviet Union,W,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,"STROPAHL-STREIDT, Ellen",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"RICHTER-IRRGANG, Annegret",Women,FRG,West Germany,W,Silver
Montreal,1976,Athletics,Athletics,long jump,"ROBINSON, Arnie",Men,USA,United States,M,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"HERRMANN, Bernd",Men,FRG,West Germany,M,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"FRAZIER, Herman Ronald",Men,USA,United States,M,Gold
Montreal,1976,Athletics,Athletics,high jump,"WITSCHAS-ACKERMANN, Rosemarie",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,100m hurdles,"SCHALLER-KLIER, Johanna",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,400m,"JUANTORENA, Alberto",Men,CUB,Cuba,M,Gold
Montreal,1976,Athletics,Athletics,5000m,"HILDENBRAND, Klaus-Peter",Men,FRG,West Germany,M,Bronze
Montreal,1976,Athletics,Athletics,100m,"STECHER, Renate",Women,GDR,East Germany,W,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"RIDDICK, Steven Earl",Men,USA,United States,M,Gold
Montreal,1976,Athletics,Athletics,pentathlon,"BODNER-LASER, Christine",Women,GDR,East Germany,W,Silver
Montreal,1976,Athletics,Athletics,long jump,"WARTENBERG, Frank",Men,GDR,East Germany,M,Bronze
Montreal,1976,Athletics,Athletics,200m,"EVANS, Dwayne Eugene",Men,USA,United States,M,Bronze
Montreal,1976,Athletics,Athletics,200m,"HAMPTON, Millard Frank Jr.",Men,USA,United States,M,Silver
Montreal,1976,Athletics,Athletics,hammer throw,"SEDYKH, Yuri",Men,URS,Soviet Union,M,Gold
Montreal,1976,Athletics,Athletics,pentathlon,"POLLAK, Burglinde",Women,GDR,East Germany,W,Bronze
Montreal,1976,Athletics,Athletics,decathlon,"AVILOV, Nikolai",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Athletics,Athletics,high jump,"STONES, Dwight Edwin",Men,USA,United States,M,Bronze
Montreal,1976,Athletics,Athletics,800m,"WOHLHUTER, Richard Charles",Men,USA,United States,M,Bronze
Montreal,1976,Athletics,Athletics,100m hurdles,"ANISIMOVA, Tatiana",Women,URS,Soviet Union,W,Silver
Montreal,1976,Athletics,Athletics,800m,"KAZANKINA, Tatiana",Women,URS,Soviet Union,W,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"WERNER, Jan",Men,POL,Poland,M,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"THIEME, Alexander",Men,GDR,East Germany,M,Silver
Montreal,1976,Athletics,Athletics,200m,"STECHER, Renate",Women,GDR,East Germany,W,Bronze
Montreal,1976,Athletics,Athletics,shot put,"BARYSHNIKOV, Aleksandr",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Athletics,Athletics,high jump,"JOY, Gregory",Men,CAN,Canada,M,Silver
Montreal,1976,Athletics,Athletics,hammer throw,"BONDARCHUK, Anatoli",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Athletics,Athletics,100m,"BORZOV, Valery",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Athletics,Athletics,800m,"CHTEREVA, Nikolina",Women,BUL,Bulgaria,W,Silver
Montreal,1976,Athletics,Athletics,3000m steeplechase,"MALINOWSKI, Bronislaw",Men,POL,Poland,M,Silver
Montreal,1976,Athletics,Athletics,1500m,"HOFFMEISTER, Gunhild",Women,GDR,East Germany,W,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,"INGRAM, Sheila Rena",Women,USA,United States,W,Silver
Montreal,1976,Athletics,Athletics,triple jump,"BUTTS, James A.",Men,USA,United States,M,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,"PARKS, Maxwell Lander",Men,USA,United States,M,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"ANISIMOVA, Vera",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Athletics,Athletics,discus throw,"SCHMIDT, Wolfgang",Men,GDR,East Germany,M,Silver
Montreal,1976,Athletics,Athletics,javelin throw,"SCHMIDT, Kathryn Joan",Women,USA,United States,W,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"BRYANT, Rosalyn Evette",Women,USA,United States,W,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"OELSNER-GÖHR, Marlies",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,1500m,"WELLMANN, Paul-Heinz",Men,FRG,West Germany,M,Bronze
Montreal,1976,Athletics,Athletics,discus throw,"POWELL, John Gates",Men,USA,United States,M,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,"BESFAMILNAYA, Nadezhda",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"PODLAS, Ryszard",Men,POL,Poland,M,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"KOLESNIKOV, Nikolai",Men,URS,Soviet Union,M,Bronze
Montreal,1976,Athletics,Athletics,1500m,"WALKER, John",Men,NZL,New Zealand,M,Gold
Montreal,1976,Athletics,Athletics,800m,"ZINN, Elfi",Women,GDR,East Germany,W,Bronze
Montreal,1976,Athletics,Athletics,1500m,"KAZANKINA, Tatiana",Women,URS,Soviet Union,W,Gold
Montreal,1976,Athletics,Athletics,marathon,"CIERPINSKI, Waldemar",Men,GDR,East Germany,M,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"KRIEG, Lothar",Men,FRG,West Germany,M,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,"BODENDORF, Carla",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"PFEIFER, Jörg",Men,GDR,East Germany,M,Silver
Montreal,1976,Athletics,Athletics,800m,"VAN DAMME, Ivo",Men,BEL,Belgium,M,Silver
Montreal,1976,Athletics,Athletics,1500m,"VAN DAMME, Ivo",Men,BEL,Belgium,M,Silver
Montreal,1976,Athletics,Athletics,110m hurdles,"DAVENPORT, Willie",Men,USA,United States,M,Bronze
Montreal,1976,Athletics,Athletics,20km walk,"BAUTISTA ROCHA, Daniel",Men,MEX,Mexico,M,Gold
Montreal,1976,Athletics,Athletics,discus throw,"SCHLAAK-JAHL, Evelin",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,100m,"RICHTER-IRRGANG, Annegret",Women,FRG,West Germany,W,Gold
Montreal,1976,Athletics,Athletics,200m,"ECKERT-WÖCKEL, Bärbel",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"PIETRZYK, Jerzy",Men,POL,Poland,M,Silver
Montreal,1976,Athletics,Athletics,400m,"BREHMER-LATHAN, Christina",Women,GDR,East Germany,W,Silver
Montreal,1976,Athletics,Athletics,shot put,"CHRISTOVA-TODOROVA, Ivanka Mikailova",Women,BUL,Bulgaria,W,Gold
Montreal,1976,Athletics,Athletics,pentathlon,"SIEGL, Siegrun",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"MALETZKI, Doris",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,100m hurdles,"LEBEDEVA, Natalya",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Athletics,Athletics,decathlon,"KRATSCHMER, Guido",Men,FRG,West Germany,M,Silver
Montreal,1976,Athletics,Athletics,shot put,"BEYER, Udo",Men,GDR,East Germany,M,Gold
Montreal,1976,Athletics,Athletics,3000m steeplechase,"BAUMGARTL, Frank",Men,GDR,East Germany,M,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"CHISTYAKOVA-SOKOLOVA, Natalya",Women,URS,Soviet Union,W,Bronze
Montreal,1976,Athletics,Athletics,shot put,"MIRONOV, Yevgeni",Men,URS,Soviet Union,M,Silver
Montreal,1976,Athletics,Athletics,400m hurdles,"SHINE, Michael Lyle",Men,USA,United States,M,Silver
Montreal,1976,Athletics,Athletics,400m hurdles,"MOSES, Edwin",Men,USA,United States,M,Gold
Montreal,1976,Athletics,Athletics,decathlon,"JENNER, William Bruce",Men,USA,United States,M,Gold
Montreal,1976,Athletics,Athletics,3000m steeplechase,"GARDERUD, Anders",Men,SWE,Sweden,M,Gold
Montreal,1976,Athletics,Athletics,pole vault,"SLUSARSKI, Tadeusz",Men,POL,Poland,M,Gold
Montreal,1976,Athletics,Athletics,long jump,"VOIGT, Angela",Women,GDR,East Germany,W,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"HAMPTON, Millard Frank Jr.",Men,USA,United States,M,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"SILOVS, Yuris",Men,URS,Soviet Union,M,Bronze
